iter	Passed	Remaining
0	146	146665
1	148	73974
2	149	49697
3	150	37527
4	152	30319
5	153	25496
6	155	21998
7	156	19379
8	157	17350
9	158	15724
10	159	14385
11	161	13294
12	162	12364
13	164	11583
14	165	10900
15	167	10283
16	168	9738
17	169	9255
18	170	8822
19	172	8435
20	173	8079
21	174	7757
22	175	7474
23	177	7212
24	178	6971
25	180	6752
26	181	6545
27	182	6348
28	184	6165
29	185	5992
30	186	5830
31	187	5676
32	188	5533
33	190	5404
34	191	5286
35	193	5172
36	194	5063
37	195	4955
38	196	4852
39	198	4754
40	199	4663
41	200	4578
42	201	4494
43	203	4413
44	204	4341
45	206	4274
46	207	4204
47	208	4137
48	209	4075
49	211	4011
50	212	3953
51	213	3894
52	214	3838
53	216	3784
54	217	3732
55	218	3684
56	220	3641
57	221	3593
58	222	3548
59	223	3502
60	224	3460
61	226	3419
62	227	3380
63	228	3341
64	229	3303
65	230	3266
66	231	3229
67	233	3202
68	235	3176
69	236	3147
70	238	3116
71	239	3089
72	241	3061
73	242	3034
74	243	3007
75	245	2982
76	246	2957
77	248	2933
78	249	2909
79	250	2883
80	251	2858
81	253	2835
82	253	2805
83	255	2782
84	256	2758
85	257	2736
86	258	2715
87	259	2694
88	261	2675
89	262	2657
90	264	2639
91	265	2619
92	266	2600
93	267	2580
94	268	2561
95	270	2545
96	271	2527
97	272	2510
98	273	2492
99	275	2476
100	276	2460
101	277	2446
102	279	2432
103	280	2417
104	281	2401
105	282	2385
106	283	2370
107	285	2354
108	286	2339
109	287	2325
110	288	2313
111	289	2299
112	291	2285
113	292	2273
114	293	2262
115	295	2250
116	296	2236
117	297	2225
118	298	2213
119	300	2200
120	301	2189
121	302	2175
122	303	2164
123	304	2152
124	306	2142
125	307	2133
126	308	2123
127	310	2112
128	311	2101
129	312	2090
130	313	2079
131	314	2069
132	316	2061
133	318	2055
134	319	2047
135	320	2037
136	322	2030
137	323	2023
138	325	2014
139	326	2006
140	328	1998
141	329	1988
142	330	1981
143	332	1974
144	333	1967
145	335	1960
146	336	1953
147	338	1946
148	339	1938
149	340	1930
150	342	1923
151	343	1916
152	344	1908
153	346	1901
154	347	1895
155	348	1888
156	350	1881
157	351	1874
158	353	1868
159	354	1860
160	355	1851
161	356	1843
162	357	1836
163	358	1829
164	360	1822
165	361	1815
166	362	1808
167	363	1800
168	364	1793
169	366	1788
170	368	1784
171	369	1777
172	370	1771
173	371	1764
174	372	1758
175	374	1751
176	375	1744
177	376	1738
178	377	1733
179	379	1726
180	380	1721
181	381	1715
182	383	1710
183	384	1704
184	385	1698
185	386	1692
186	388	1688
187	389	1683
188	391	1679
189	392	1675
190	394	1671
191	396	1668
192	398	1664
193	399	1660
